system_slug,system_name,gpu_model,gpu_count,gpu_vram_gb_each,cpu_model,cpu_cores,cpu_threads,system_ram_gb,ram_type,ram_speed_mhz,storage,os,role,notes
gpu-box-01,Gpu-box-01,NVIDIA GeForce RTX 3060,2,12,Intel Xeon E5-1650 v4,6,12,128,DDR4 UDIMM,2400,WD Blue SN570 1TB NVMe,Ubuntu 26.04 LTS,Primary benchmark box,"2x RTX 3060 via tensor-split; 128 GB DDR4-2400 UDIMM desktop RAM, quad-channel. Aug 2026 reasoning-v1 runs (PS-0001..PS-0031). PCIe link negotiates Gen1 on this board; no measurable impact on decode speed.\"
uranus-3x3060,Uranus 3x3060,NVIDIA GeForce RTX 3060,3,12,Intel Xeon E5-1650 v4,6,12,123,DDR4,2400,,Ubuntu 26.04 LTS,Secondary benchmark box,"3x RTX 3060 via Ollama multi-GPU; 123 GB RAM, Ollama 0.32.8, FLASH_ATTENTION=1, KV_CACHE_TYPE=q8_0. Aug 2026 dense+fleet runs: Ornith-1.5-35B-A3B Q6_K, Qwen3.8-9B Q8_0."
